date,base,currency,rate
2024-01-29,EUR,PHP,61.053
2024-01-29,EUR,PLN,4.366
2024-01-29,EUR,RON,4.9773
2024-01-29,EUR,SEK,11.3562
2024-01-29,EUR,SGD,1.4516
2024-01-29,EUR,THB,38.487
2024-01-29,EUR,TRY,32.851
2024-01-29,EUR,USD,1.0823
2024-01-29,EUR,ZAR,20.302
2024-01-30,EUR,AUD,1.6462
2024-01-30,EUR,BGN,1.9558
2024-01-30,EUR,BRL,5.3697
2024-01-30,EUR,CAD,1.4564
2024-01-30,EUR,CHF,0.9365
2024-01-30,EUR,CNY,7.7866
2024-01-30,EUR,CZK,24.831
2024-01-30,EUR,DKK,7.4543
2024-01-30,EUR,GBP,0.85628
2024-01-30,EUR,HKD,8.4775
2024-01-30,EUR,HUF,387.23
2024-01-30,EUR,IDR,17113.0
2024-01-30,EUR,ILS,3.9566
2024-01-30,EUR,INR,90.16
2024-01-30,EUR,ISK,148.3
2024-01-30,EUR,JPY,159.97
2024-01-30,EUR,KRW,1442.67
2024-01-30,EUR,MXN,18.6729
2024-01-30,EUR,MYR,5.1274
2024-01-30,EUR,NOK,11.3383
2024-01-30,EUR,NZD,1.7721
2024-01-30,EUR,PHP,61.171
2024-01-30,EUR,PLN,4.3618
2024-01-30,EUR,RON,4.9768
2024-01-30,EUR,SEK,11.2971
2024-01-30,EUR,SGD,1.4534
2024-01-30,EUR,THB,38.384
2024-01-30,EUR,TRY,32.928
2024-01-30,EUR,USD,1.0846
2024-01-30,EUR,ZAR,20.493
2024-01-31,EUR,AUD,1.6468
2024-01-31,EUR,BGN,1.9558
2024-01-31,EUR,BRL,5.3749
2024-01-31,EUR,CAD,1.4558
2024-01-31,EUR,CHF,0.9348
2024-01-31,EUR,CNY,7.7789
2024-01-31,EUR,CZK,24.891
2024-01-31,EUR,DKK,7.455
2024-01-31,EUR,GBP,0.85435
2024-01-31,EUR,HKD,8.4734
2024-01-31,EUR,HUF,384.9
2024-01-31,EUR,IDR,17076.0
2024-01-31,EUR,ILS,3.9431
2024-01-31,EUR,INR,90.0
2024-01-31,EUR,ISK,148.3
2024-01-31,EUR,JPY,160.19
2024-01-31,EUR,KRW,1444.63
2024-01-31,EUR,MXN,18.5817
2024-01-31,EUR,MYR,5.1259
2024-01-31,EUR,NOK,11.351
2024-01-31,EUR,NZD,1.7705
2024-01-31,EUR,PHP,61.023
2024-01-31,EUR,PLN,4.333
2024-01-31,EUR,RON,4.9758
2024-01-31,EUR,SEK,11.2682
2024-01-31,EUR,SGD,1.4517
2024-01-31,EUR,THB,38.461
2024-01-31,EUR,TRY,32.898
2024-01-31,EUR,USD,1.0837
2024-01-31,EUR,ZAR,20.324
